"code_line","qtd_exception_events","identification"
33910,3,"TERM. STO. AMARO / UNISA-CAMPUS 1"
33911,2,"TERM. VARGINHA / JD. ITAJAÍ"
33912,1,"TERM. VARGINHA / JD. SETE DE SETEMBRO"
33914,6,"SHOP. INTERLAGOS / JD. SÃO BERNARDO"
33915,9,"TERM. GRAJAÚ / PQ. STA. CECÍLIA"
33917,1,"TERM. VARGINHA / JD. NORONHA"
33918,2,"TERM. GRAJAÚ / JD. MARILDA"
33919,5,"TERM. GRAJAÚ / JD. CASTRO ALVES"
33920,3,"TERM. VARGINHA / JD. VARGINHA"
33922,2,"TERM. STO. AMARO / JD. SÃO BERNARDO"
33924,8,"TERM. STO. AMARO / JD. ORION"
33930,1,"TERM. VARGINHA / JD. REC. CAMPO BELO"
33933,4,"TERM. STO. AMARO / JD. PROGRESSO"
33935,3,"TERM. GRAJAÚ / ILHA DO BORORÉ"
33936,1,"SHOP. INTERLAGOS / JD. LUCÉLIA"
33937,1,"TERM. VARGINHA / JD. CHÁC. DO SOL"
33945,2,"TERM. GRAJAÚ / JD. DAS PEDRAS"
33952,1,"AEROPORTO / CONJ. HAB. PALMARES"
33954,1,"TERM. GRAJAÚ / JD. PRAINHA"
33956,1,"TERM. STO. AMARO / JD. ICARAÍ"
33964,2,"TERM. STO. AMARO / JD. HERPLIN"
33966,8,"METRÔ VL. MARIANA / TERM. PARELHEIROS"
33968,20,"TERM. STO. AMARO / JD. PLANALTO"
33970,14,"TERM. GUARAPIRANGA / CHÁC. STA. MARIA"
33972,6,"STO. AMARO / PQ. INDEPENDÊNCIA"
33973,1,"STO. AMARO / VL. CALÚ"
33974,4,"STO. AMARO / JD. NAKAMURA"
33979,2,"TERM. STO. AMARO / RIVIERA"
33982,17,"STO. AMARO / JD. MACEDÔNIA"
33983,3,"STO. AMARO / JD. MITSUTANI"
33984,4,"STO. AMARO / JD. DAS ROSAS"
33985,3,"STO. AMARO / VALO VELHO"
33986,10,"STO. AMARO / JD. JANGADEIRO"
33987,3,"STO. AMARO / JD. TRÊS ESTRELAS"
33988,4,"TERM. STO. AMARO / JD. CAPELINHA"
33989,1,"TERM. STO. AMARO / JD. D. JOSÉ"
33990,6,"STO. AMARO / VALO VELHO"
33991,1,"STO. AMARO / JD. SÃO BENTO NOVO"
33992,7,"STO. AMARO / JD. LÍDIA"
33993,1,"TERM. GRAJAÚ / PQ. COCAIA"
33994,9,"STO. AMARO / JD. UNIVERSAL"
34000,6,"TERM. STO. AMARO / JD. SÃO FRANCISCO"
34010,2,"STO. AMARO / JD. CAPELA"
34014,6,"SHOP. ARICANDUVA / HOSP. IPIRANGA"
34016,3,"LAPA / METRÔ BARRA FUNDA"
34019,8,"TERM. LAPA / VL. PIAUÍ"
34020,4,"TERM. LAPA / TERM. PIRITUBA"
34021,6,"TERM. LAPA / REMÉDIOS"
34022,6,"TERM. LAPA / STA. MÔNICA"
34024,7,"TERM. PIRITUBA / JD. DONÁRIA"
34026,1,"TERM. PIRITUBA / STA. MÔNICA"
34027,9,"TERM. PIRITUBA / CID. D'ABRIL 3ª GLEBA"
34029,1,"TERM. PIRITUBA / CPTM VL. AURORA"
34030,2,"TERM. LAPA / TERM. PIRITUBA"
34031,1,"TERM. LAPA / TERM. PIRITUBA"
34033,2,"PÇA. RAMOS DE AZEVEDO / TERM. PIRITUBA"
34036,5,"TERM. LAPA / ITABERABA"
34037,1,"TERM. PIRITUBA / VL. ZATT"
34039,2,"TERM. PIRITUBA / VL. MIRANTE"
34043,15,"METRÔ STA. CRUZ / CPTM AUTÓDROMO"
34045,41,"TERM. PRINC. ISABEL / JD. MIRIAM"
34048,32,"LGO. SÃO FRANCISCO / JD. SELMA"
34049,5,"TERM. GUARAPIRANGA / JD. MIRIAM"
34050,8,"PQ. D. PEDRO II / CID. ADEMAR"
34051,19,"PQ. IBIRAPUERA / VL. STA. CATARINA"
34053,5,"TERM. STO. AMARO / JD. LUSO"
34055,8,"METRÔ CONCEIÇÃO / VL. MISSIONÁRIA"
34056,4,"METRÔ CONCEIÇÃO / CID. JÚLIA"
34058,4,"TERM. STO. AMARO / METRÔ JABAQUARA"
34059,1,"METRÔ ANA ROSA / JD. MIRIAM"
34061,3,"PQ. IBIRAPUERA / JD. MIRIAM"
34062,2,"TERM. BANDEIRA / JD. LUSO"
34064,2,"PQ. IBIRAPUERA / JD. MIRIAM"
34083,4,"PINHEIROS / VALO VELHO"
34084,4,"TERM. PINHEIROS / COHAB ADVENTISTA"
34085,2,"TERM. BANDEIRA / JD. VAZ DE LIMA"
34086,3,"METRÔ SÃO JUDAS / PQ. STO. ANTONIO"
34090,1,"METRÔ VL. MARIANA / TERM. CAPELINHA"
34100,16,"TERM. PRINC. ISABEL / CID. UNIVERSITÁRIA"
34101,15,"PÇA. RAMOS DE AZEVEDO / MERCADO DA LAPA"
34102,4,"PÇA. RAMOS DE AZEVEDO / LAPA"
34105,5,"HOSP. DAS CLÍNICAS / LAPA"
34108,3,"METRÔ VL. MARIANA / TERM. LAPA"
34109,2,"METRÔ ANA ROSA / METRÔ BARRA FUNDA"
34113,1,"TERM. PIRITUBA / CEM. DE PERUS"
34114,1,"TERM. PIRITUBA / JD. RINCÃO"
34127,10,"PÇA. DO CORREIO / FREGUESIA DO Ó"
34128,18,"PÇA. DO CORREIO / BRASILÂNDIA"
34132,3,"METRÔ BARRA FUNDA / PENTEADO"
34133,2,"TERM. CASA VERDE / VL. PENTEADO"
34134,2,"METRÔ ANA ROSA / MORRO GRANDE"
34139,30,"TERM. BANDEIRA / CEASA"
34140,2,"TERM. PRINC. ISABEL / TERM. PINHEIROS"
34171,4,"METRÔ SANTANA / CEM. PQ. DOS PINHEIROS"
34191,3,"METRÔ BARRA FUNDA / VL. ZATT"
34193,3,"TERM. LAPA / MORRO GRANDE"
34195,11,"PÇA. RAMOS DE AZEVEDO / APIACÁS"
34196,2,"SOCORRO / LAPA"
34201,1,"TERM. PIRITUBA / JD. PAULISTANO"
34202,3,"TERM. PIRITUBA / VL. MIRANTE"
34205,5,"TERM. PIRITUBA / PQ. DE TAIPAS"
34209,2,"METRÔ JABAQUARA / TERM. VARGINHA"
34210,35,"LGO. SÃO FRANCISCO / TERM. VARGINHA"
34233,13,"TERM. BANDEIRA / TERM. VARGINHA"
34238,3,"CPTM GUAIANAZES / CPTM JD. ROMANO"
34239,2,"PENHA / JD. VL. NOVA"
34260,20,"JABAQUARA / SHOP. INTERLAGOS"
34283,4,"PÇA. JOÃO MENDES / ELDORADO"
34291,5,"METRÔ SÃO JUDAS / JD. UBIRAJARA"
34332,2,"METRÔ TAMANDUATEÍ / JD. GUAIRACÁ"
34353,5,"TERM. GRAJAÚ / VARGEM GRANDE"
34355,1,"TERM. GRAJAÚ / DIVISA DE EMBU-GUAÇU"
34356,1,"TERM. VARGINHA / JD. SÃO NICOLAU"
34380,4,"METRÔ ITAQUERA / CID. TIRADENTES"
34387,1,"TERM. SÃO MATEUS / TERM. SÃO MIGUEL"
34394,2,"TERM. PQ. D. PEDRO II / TERM. SAPOPEMBA"
34395,6,"TERM. PRINC. ISABEL / TERM. SAPOPEMBA"
34396,7,"TERM. PQ. D. PEDRO II / TERM. SAPOPEMBA"
34397,2,"METRÔ BELÉM / JD. WALKIRIA"
34398,2,"METRÔ BRESSER / HOSP. SAPOPEMBA"
34399,1,"SHOP. ARICANDUVA / MASCARENHAS DE MORAIS"
34400,2,"METRÔ CARRÃO / TERM. SAPOPEMBA"
34402,4,"METRÔ ALTO DO IPIRANGA / CONJ. HAB. HELIÓPOLIS"
34404,1,"TERM. SAPOPEMBA / JD. ESTER"
34405,2,"VL. ALPINA / METRÔ BRESSER"
34406,1,"SHOP. METRÔ TATUAPÉ / DIV. SÃO CAETANO"
34407,3,"DIV. DE SÃO CAETANO / SÃO MATEUS"
34409,3,"PÇA. ALMEIDA JR. / TERM. SAPOPEMBA"
34415,5,"METRÔ ITAQUERA / JD. SANTANA"
34419,33,"TERM. MERCADO / TERM. SACOMÃ"
34423,3,"PQ. BELÉM / TERM. SACOMÃ"
34425,1,"METRÔ VERGUEIRO / TERM. SACOMÃ"
34429,3,"TERM. SACOMÃ / PQ. BRISTOL"
34430,1,"TERM. SACOMÃ / VL. ARAPUÁ"
34431,2,"TERM. SACOMÃ / VL. LIVIERO"
34433,1,"TERM. SACOMÃ / VL. BRASILINA"
34437,5,"TERM. SACOMÃ / JD. MARIA ESTELA"
34438,1,"TERM. SACOMÃ / HOSP. HELIÓPOLIS"
34440,5,"TERM. SACOMÃ / JD. PATENTE"
34443,2,"TERM. PQ. D. PEDRO II / JD. CELESTE"
34448,5,"METRÔ TATUAPÉ / MOOCA"
34453,3,"TERM. VL. CARRÃO / METRÔ CONCEIÇÃO"
34463,1,"METRÔ SANTANA / TERM. CACHOEIRINHA"
34483,3,"METRÔ TATUAPÉ / PQ. SÃO LUCAS"
34494,3,"SHOP. MORUMBI / BUTANTÃ"
34514,1,"TERM. SACOMÃ / VL. ARAPUÁ"
34527,8,"E.T. ÁGUA ESPRAIADA / METRÔ CONCEIÇÃO"
34528,4,"METRÔ ITAQUERA / JD. CAMPOS"
34550,3,"METRÔ TUCURUVI / JD. CABUÇU"
34576,1,"SÃO MIGUEL / JD. MABEL"
34584,3,"METRÔ SANTANA / VL. AURORA"
34633,1,"CPTM GUAIANAZES / JD. FANGANIELO"
34644,1,"SETOR IIB / TERM. CID. TIRADENTES"
34650,1,"TERM. PQ. D. PEDRO II / TERM. PENHA"
34652,2,"TERM. CAMPO LIMPO / JD. DAS ROSAS"
34654,4,"TERM. CAMPO LIMPO / JD. HELGA"
34655,2,"TERM. CAMPO LIMPO / JD. MACEDÔNIA"
34660,3,"ACLIMAÇÃO / TERM. CAMPO LIMPO"
34665,1,"TERM. CAMPO LIMPO / JD. MITSUTANI"
34666,3,"TERM. CAMPO LIMPO / INOCOOP CAMPO LIMPO"
34669,21,"METRÔ CONCEIÇÃO / TERM. CAMPO LIMPO"
34680,1,"TERM. CAMPO LIMPO / PQ. DO LAGO"
34685,1,"TERM. BANDEIRA / TERM. CAMPO LIMPO"
34717,3,"LAPA / CAMPO LIMPO"
34719,1,"JD. ÂNGELA / JD. SÃO LOURENÇO"
34733,1,"METRÔ ITAQUERA / CPTM ERMELINO MATARAZZO"
34745,5,"ITAIM BIBI / JD. MIRIAM"
34747,3,"HOSP. PEDREIRA / CID. DUTRA"
34758,2,"METRÔ PÇA. DA ÁRVORE / JD. ÂNGELA"
34789,1,"METRÔ ARMÊNIA / SHOP. MORUMBI"
34804,4,"E.T. ÁGUA ESPRAIADA / TERM. GRAJAÚ"
34812,3,"METRÔ BUTANTÃ / TERM. CAMPO LIMPO"
34828,4,"VL. NHOCUNÉ / METRÔ PATRIARCA"
34831,5,"TERM. BANDEIRA / JD. PAULO VI"
34832,2,"TERM. PRINC. ISABEL / RIO PEQUENO"
34834,1,"TERM. PINHEIROS / JD. COLOMBO"
34837,4,"TERM. PINHEIROS / JD. D'ABRIL"
34838,24,"BUTANTÃ / VL. SÔNIA"
34839,4,"METRÔ BUTANTÃ / PQ. CONTINENTAL"
34840,2,"ANHANGABAÚ / SHOP. CONTINENTAL"
34842,1,"BUTANTÃ / CDHU MUNCK"
34847,1,"BUTANTÃ / PQ. IPÊ"
34851,1,"BUTANTÃ / JD. INGÁ"
34856,9,"ITAIM BIBI / TERM. LAPA"
34860,10,"METRÔ ANA ROSA / E.T. ÁGUA ESPRAIADA"
34872,3,"SHOP. D / PQ. EDU CHAVES"
34880,1,"CONJ. CHAPARRAL / METRÔ PENHA"
34882,1,"METRÔ ARTUR ALVIM / CONJ. ENCOSTA NORTE"
34884,11,"BUTANTÃ / TERM. PQ. D. PEDRO II"
34886,1,"TERM. STO. AMARO / JD. ÂNGELA"
34901,5,"METRÔ BARRA FUNDA / LIMÃO"
34903,14,"TERM. PINHEIROS / CONEXÃO VL. IÓRIO"
34907,1,"SOCORRO / JD. APURÁ"
34909,16,"CONEXÃO VL. IÓRIO / PERUS"
34912,1,"CPTM GUAIANAZES / JD. SÃO PAULO"
34913,1,"METRÔ ITAQUERA / CPTM GUAIANAZES"
34924,1,"METRÔ ITAQUERA / COHAB FAZENDA DO CARMO"
34927,1,"E.T. ITAQUERA / INÁCIO MONTEIRO"
34928,4,"TERM. PQ. D. PEDRO II / E.T. ITAQUERA"
34937,1,"METRÔ PENHA / TERM. CID. TIRADENTES"
34938,1,"TERM. PQ. D. PEDRO II / TERM. CID. TIRADENTES"
34940,4,"TERM. PQ. D. PEDRO II / JD. MARÍLIA"
34942,1,"TERM. PQ. D. PEDRO II / INÁCIO MONTEIRO"
34944,5,"TERM. VL. CARRÃO / ITAQUERA"
34946,1,"BARRO BRANCO / TERM. CID. TIRADENTES"
34947,1,"BARRO BRANCO / TERM. CID. TIRADENTES"
34948,3,"CIRCULAR / JD. NOVA VITÓRIA"
34949,1,"TERM. VL. CARRÃO / COHAB JUSCELINO"
34950,8,"TERM. VL. CARRÃO / JD. CIBELE"
34951,2,"TERM. VL. CARRÃO / JD. NSA. SRA. DO CARMO"
34953,1,"TERM. SÃO MATEUS / JD. IGUATEMI"
34954,3,"TERM. SÃO MATEUS / JD. STO. ANDRÉ"
34955,1,"TERM. VL. CARRÃO / JD. VL. CARRÃO"
34960,4,"TERM. PENHA / CPTM JOSÉ BONIFÁCIO"
34965,1,"METRÔ ITAQUERA / JD. SÃO FRANCISCO"
34966,1,"METRÔ TATUAPÉ / JD. SOARES"
34967,1,"METRÔ GUILHERMINA/ESPERANÇA / BARRO BRANCO"
34970,1,"METRÔ ITAQUERA / JD. REDIL"
34972,2,"METRÔ CARRÃO / JD. IV CENTENÁRIO"
34977,8,"TERM. MERCADO / TERM. SÃO MATEUS"
34983,2,"METRÔ CARRÃO / JD. STO. ANDRÉ"
35005,1,"TERM. SÃO MATEUS / PQ. BOA ESPERANÇA"
35011,2,"METRÔ - TRIANON - MASP / VL. GOMES"
35013,2,"LAPA / JD. BOA VISTA"
35022,11,"METRÔ BARRA FUNDA / CID. UNIVERSITÁRIA"
35023,2,"TERM. PQ. D. PEDRO II / METRÔ SANTANA"
35030,1,"METRÔ PARADA INGLESA / HORTO FLORESTAL"
35032,5,"METRÔ SANTANA / LAUZANE PAULISTA"
35034,2,"METRÔ CARANDIRU / JD. BRASIL"
35037,1,"PQ. NOVO MUNDO / JAÇANÃ"
35038,1,"METRÔ TUCURUVI / JD. FONTÁLIS"
35049,3,"METRÔ TIETÊ / VL. MEDEIROS"
35050,3,"TERM. PQ. D. PEDRO II / TERM. LAPA"
35052,1,"TERM. LAPA / TERM. PIRITUBA"
35063,1,"JD. PAULISTANO / TERM. PIRITUBA"
35068,1,"METRÔ BARRA FUNDA / TERM. PQ. D. PEDRO II"
35069,9,"TERM. PINHEIROS / CACHOEIRINHA"
35070,3,"CONEXÃO PETRÔNIO PORTELA / JD. CAROMBÉ"
35072,52,"METRÔ BARRA FUNDA / CONEXÃO PETRÔNIO PORTELA"
35074,4,"CONEXÃO PETRÔNIO PORTELA / VL. IARA"
35079,1,"TERM. PQ. D. PEDRO II / METRÔ TUCURUVI"
35081,2,"TERM. PQ. D. PEDRO II / METRÔ TUCURUVI"
35082,3,"TERM. PQ. D. PEDRO II / METRÔ TUCURUVI"
35106,1,"TERM. ARICANDUVA / TERM. SÃO MIGUEL"
35108,1,"METRÔ ITAQUERA / TERM. SÃO MIGUEL"
35110,1,"TERM. PQ. D. PEDRO II / METRÔ ITAQUERA"
35115,1,"ERMELINO MATARAZZO / TERM. PENHA"
35119,1,"ARTUR ALVIM / METRÔ ITAQUERA"
35120,1,"JD. STO. ANTÔNIO / METRÔ ITAQUERA"
35122,1,"JD. DANFER / TERM. PENHA    "
35123,1,"METRÔ ITAQUERA / TERM. A. E. CARVALHO"
35129,1,"METRÔ ITAQUERA / TERM. VL. CARRÃO"
35131,2,"METRÔ BELÉM / TERM. VL. CARRÃO"
35167,1,"JD. LUSO / TERM. STO. AMARO"
35178,6,"TERM. PINHEIROS / TERM. STO. AMARO"
35179,1,"TERM. PINHEIROS / TERM. CAMPO LIMPO"
35197,4,"TERM. PQ. D. PEDRO II / TERM. PINHEIROS"
35199,1,"PQ. CONTINENTAL / TERM. LAPA"
35201,1,"TERM. PINHEIROS / TERM. LAPA"
35207,1,"STA. CECÍLIA / TERM. VL. MARIANA"
35208,2,"STA. CECÍLIA / TERM. VL. MARIANA"
35214,2,"TERM. A. E. CARVALHO / ERMELINO MATARAZZO"
35215,1,"VL. SOLANGE / CPTM GUAIANAZES"
35216,1,"TERM. CID. TIRADENTES / CID. TIRADENTES"
35218,6,"LAPA / CONEXÃO VL. IÓRIO"
35219,2,"LAPA / VL. IÓRIO"
35220,4,"CONEXÃO VL. IÓRIO / VL. IARA"
35229,12,"TURISMO / CIRCULAR"
35230,1,"TERM. PINHEIROS / TERM. STO. AMARO"
35246,12,"TERM. PINHEIROS / METRÔ SANTANA"
35252,1,"TERM. STO. AMARO / E T. ÁGUA ESPRAIADA"
35263,8,"TERM. PIRITUBA / SOL NASCENTE"
35265,18,"CONEXÃO VL. IÓRIO  / PERUS"
35266,4,"METRÔ BELÉM / PQ. EDÚ CHAVES"
35267,8,"TERM. ROD. TIETÊ  / VL. SABRINA"
35268,13,"TERM. LAPA / VL. SULINA"
35274,26,"PÇA. RAMOS DE AZEVEDO / TERM. LAPA"
35275,2,"TERM. LAPA / TERM. PIRITUBA"
35276,28,"PÇA. RAMOS DE AZEVEDO / TERM. CAMPO LIMPO"
35278,4,"METRÔ STA. CRUZ / TERM. LAPA"
